Quarter,4O,AA,AM,DL,Y4
2014Q1,133.75,210.53125,209.42105263157896,208.125,159.0
2014Q2,143.0,205.58333333333334,282.3809523809524,236.3,155.66666666666666
2014Q3,145.375,221.63636363636363,236.66666666666666,232.57142857142858,169.33333333333334
2014Q4,165.75,222.25,277.4117647058824,234.0909090909091,162.25
2015Q1,200.0,218.5625,255.47619047619048,252.4,162.75
2015Q2,162.0,245.31034482758622,247.8095238095238,228.45454545454547,143.0
2015Q3,176.33333333333334,209.06896551724137,240.26923076923077,231.33333333333334,133.66666666666666
2015Q4,166.85714285714286,226.24324324324326,191.6,224.125,108.25
2016Q1,163.71428571428572,250.03125,193.9,216.9,120.33333333333333
2016Q2,167.85714285714286,205.44827586206895,159.05,222.16666666666666,118.66666666666667
2016Q3,166.0,233.9,205.35714285714286,164.7,144.33333333333334
2016Q4,153.0,244.48387096774192,264.05555555555554,192.88888888888889,113.66666666666667
2017Q1,138.4,228.80555555555554,199.2941176470588,242.3,108.375
2017Q2,129.375,229.30555555555554,180.05555555555554,207.55555555555554,115.625
2017Q3,132.14285714285714,257.03846153846155,203.35,197.91666666666666,122.5
2017Q4,136.6,253.5,211.89285714285714,189.26666666666668,113.44444444444444
2018Q1,138.92307692307693,254.71428571428572,186.08695652173913,200.46666666666667,98.44444444444444
2018Q2,114.28571428571429,245.5,200.1153846153846,226.08333333333334,117.11111111111111
2018Q3,89.11111111111111,228.5909090909091,217.83333333333334,214.0,117.66666666666667
2018Q4,107.88888888888889,228.65625,287.1111111111111,219.6,111.11111111111111
2019Q1,113.5,287.74074074074076,201.91666666666666,228.25,107.55555555555556
2019Q2,78.0,293.1142857142857,275.72727272727275,240.2,113.85714285714286
2019Q3,112.25,304.2307692307692,242.30434782608697,259.35714285714283,137.55555555555554
2019Q4,128.57142857142858,306.6875,278.45,285.15384615384613,105.75
2020Q1,116.25,240.77777777777777,255.27777777777777,248.5,87.71428571428571
2020Q2,63.333333333333336,128.27272727272728,145.125,203.5,56.6
2020Q3,83.33333333333333,196.6875,157.44444444444446,178.75,89.0
2020Q4,87.0,182.875,133.23076923076923,194.57142857142858,112.83333333333333
2021Q1,,175.5,109.72727272727273,187.66666666666666,78.78571428571429
2021Q2,,189.4,158.3125,188.54545454545453,101.14285714285714
2021Q3,,180.7058823529412,200.16666666666666,187.0,106.1
2021Q4,,219.04761904761904,209.57142857142858,185.14285714285714,88.72727272727273
2022Q1,,228.3,189.92307692307693,193.14285714285714,81.1
2022Q2,,256.88461538461536,254.57142857142858,233.375,120.7
2022Q3,,268.2608695652174,299.25,216.5,114.5
2022Q4,,274.46153846153845,306.5833333333333,217.5,98.2
2023Q1,,296.61538461538464,252.28571428571428,225.66666666666666,120.55555555555556
2023Q2,,270.025,285.55555555555554,230.46153846153845,98.58333333333333
2023Q3,,243.78787878787878,278.7142857142857,233.44444444444446,113.0
2023Q4,,215.0,276.2307692307692,237.0,126.0
2024Q1,,211.25,265.8666666666667,232.41666666666666,113.55555555555556
2024Q2,,270.6363636363636,238.44444444444446,241.44444444444446,106.6
2024Q3,,210.51724137931035,202.53846153846155,228.7,108.33333333333333
2024Q4,,237.3793103448276,234.95833333333334,241.5,145.66666666666666
